row_number,reasons,CALL_NO,CALL_TYPE,Priority,UNIT,LOCATION_ADDRESS,BEAT,Created Date,Time,Closed Date
1486,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
1512,'LOCATION_ADDRESS' garbled/scrambled text,151530845 TRAFFIC STOP-S,,5,C314,"KIETZKE LN/GALLETTI WY, RNO",S5,06/02/2015,201036 202724,06/02/2015
1533,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
1534,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
1581,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
1582,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
1597,"'BEAT' expected text, has number",151560440 ACC INJ OR UNK-S,,1,,"S MCCARRAN BL/E GLENDALE AV, SPS",6,06/05/2015,125835 130032,06/05/2015
1629,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
1630,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
1677,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
1678,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
1725,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
1726,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
1773,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
1774,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
1821,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
1822,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
1869,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
1870,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
1917,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
1918,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
1965,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
1966,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
